front,back,notes
chicanery,the use of tricks to deceive someone,noun
perspicacious,mentally acute or penetratingly discerning,adjective
sapient,acutely insightful and wise,adjective
saturnine,bitter or scornful,adjective
tractable,easily managed,adjective
turpitude,a corrupt or depraved or degenerate act or practice,noun
viscous,having a relatively high resistance to flow,adjective
volatile,liable to lead to sudden change or violence,adjective
wretched,deserving or inciting pity,adjective
zeal,a feeling of strong eagerness,noun
