WORD, PART OF SPEECH, DEFINITION
Abate, verb, become less in amount or intensity
Abdicate, verb, give up power or obligations
Aberration, noun, a state or condition markedly different from the norm
Abstain, verb, refrain from doing or partaking in something
Adversity, noun, a state of misfortune or affliction
Aesthetic, adjective, characterized by an appreciation of beauty or good taste
Amicable, adjective, characterized by friendship and good will
Anachronistic, adjective, chronologically misplaced
Arid, adjective, lacking sufficient water or rainfall
Asylum, noun, a shelter from danger or hardship
Benevolent, adjective, showing or motivated by sympathy and understanding
Bias, noun, a partiality preventing objective consideration of an issue
Boisterous, adjective, marked by exuberance and high spirits
Brazen, adjective, unrestrained by convention or propriety
Brusque, adjective, rudely abrupt or blunt in speech or manner
Camaraderie, noun, the quality of affording easy familiarity and sociability
Canny, adjective, showing self-interest and shrewdness in dealing with others
Capacious, adjective, large in the amount that can be contained
Capitulate, verb,surrender under agreed conditions
Clairvoyant, adjective,someone who can perceive things not present to the senses
Collaborate, verb, work together on a common enterprise or project
Compassion, noun, a deep awareness of and sympathy for another's suffering
Compromise, noun, an accommodation in which both sides make concessions
Condescending, adjective, characteristic of those who treat others with arrogance
Conditional, adjective, imposing or depending on or containing an assumption
Conformist, noun, someone who follows established standards of conduct
Conundrum, noun, a difficult problem
Convergence, noun, the act of coming closer
Deleterious, adjective, harmful to living things
Demagogue, noun, a leader who seeks support by appealing to popular passions
Digression, noun, a message that departs from the main subject
Diligent, adjective, quietly and steadily persevering in detail or exactness
Discredit, verb, the state of being held in low esteem
Disdain, noun, lack of respect accompanied by a feeling of intense dislike
Divergent, adjective, tending to move apart in different directions
Empathy, noun, understanding and entering into another's feelings
Emulate, verb, strive to equal or match especially by imitating
Enervating, adjective, causing weakness or debilitation
Ephemeral, adjective, anything short-lived; as an insect that lives only for a day
Evanescent, adjective, short-lived; tending to vanish or disappear
Exemplary, adjective, worthy of imitation
Extenuating, adjective, partially excusing or justifying
Florid, adjective, elaborately or excessively ornamented
Forbearance, noun, a delay in enforcing rights or claims or privileges
Fortitude, noun, strength of mind that enables one to endure adversity
Fortuitous, adjective, lucky; occurring by happy chance
Foster, verb, providing nurture though not related by blood or legal ties
Fraught, adjective, filled with or attended with
Frugal, adjective, avoiding waste
Hackneyed, adjective, repeated too often; overfamiliar through overuse
Haughty, adjective, having or showing arrogant superiority
Hedonist, noun, someone motivated by desires for sensual pleasures
Hypothesis, noun, a tentative insight that is not yet verified or tested
Impetuous, adjective, characterized by undue haste and lack of thought
Impute, verb, attribute or credit to
Inconsequential, adjective, lacking worth or importance
Inevitable, adjective, incapable of being avoided or prevented
Intrepid, adjective, invulnerable to fear or intimidation
Intuitive, adjective, spontaneously derived from or prompted by a natural tendency
Jubilation, noun, a feeling of extreme joy
Lobbyist, noun, someone who is employed to persuade how legislators vote
Longevity, noun, the property of having lived for a considerable time
Mundane, adjective, found in the ordinary course of events
Nonchalant, adjective, marked by casual unconcern or indifference
Opulent, adjective, rich and superior in quality
Orator, noun, a person who delivers a speech
Ostentatious, adjective, intended to attract notice and impress others
Parched, adjective, extremely thirsty
Perfidious, adjective, tending to betray
Pragmatic, adjective, concerned with practical matters
Precocious, adjective, characterized by exceptionally early development
Pretentious, adjective, creating an appearance of importance or distinction
Procrastinate, verb, postpone doing what one should be doing
Prosaic, adjective, lacking wit or imagination
Prosperity, noun, the condition of having good fortune
Provocative, adjective, serving or tending to excite or stimulate
Prudent, adjective, marked by sound judgment
Querulous, adjective, habitually complaining
Rancorous, adjective, showing deep-seated resentment
Reclusive, adjective, withdrawn from society; seeking solitude
Reconciliation, noun, the reestablishment of cordial relations
Renovation, noun, the act of improving by renewing and restoring
Restrained, adjective, under control
Reverence, noun, a feeling of profound respect for someone or something
Sagacity, adjective, the trait of having wisdom and good judgment
Scrutinize, verb, examine carefully for accuracy
Spontaneous, adjective, said or done without having been planned in advance
Spurious, adjective, plausible but false
Submissive, adjective, inclined or willing to give in to orders or wishes of others
Substantiate, verb, establish or strengthen as with new evidence or facts
Subtle, adjective, difficult to detect or grasp by the mind or analyze
Superficial, adjective, affecting or being on or near the surface
Superfluous, adjective, more than is needed or required
Surreptitious, adjective, marked by quiet and caution and secrecy
Tactful, adjective, having a sense of what is considerate in dealing with others
Tenacious, adjective, stubbornly unyielding
Transient, adjective, lasting a very short time
Venerable, adjective, profoundly honored
Vindicate, verb, show to be right by providing justification or proof
Wary, adjective, marked by keen caution and watchful prudence
